caller,receiver,timestamp,duration
+91-9876543210,+91-9123456789,2026-03-12 10:30:00,340
+91-9123456789,+91-9988776655,2026-03-12 11:15:00,120
+91-9988776655,+91-9876543210,2026-03-12 12:00:00,45
+91-9999900001,+91-8888800002,2026-09-01T10:15:00,120
+91-8888800002,+91-7777700003,2026-09-01T11:00:00,45
+91-7777700003,+91-6666600004,2026-09-01T11:30:00,300
+91-9999900001,+91-5555500005,2026-09-02T09:00:00,15
+91-5555500005,+91-7777700003,2026-09-02T09:30:00,60
+91-4444400006,+91-9999900001,2026-09-02T14:20:00,420
+91-8888800002,+91-4444400006,2026-09-03T16:45:00,90
+91-6666600004,+91-2222200008,2026-09-04T12:00:00,34
+91-7777700003,+91-3333300009,2026-09-04T18:15:00,112
+91-5555500005,+91-2222200008,2026-09-05T09:45:00,45
